problem,Level ,DESPC,DESSC,DESWC,DESPL,DESPLd,DESSL,DESSLd,DESWLsy,DESWLsyd,DESWLlt,DESWLltd,PCNARz,PCNARp,PCSYNz,PCSYNp,PCCNCz,PCCNCp,PCREFz,PCREFp,PCDCz,PCDCp,PCVERBz,PCVERBp,PCCONNz,PCCONNp,PCTEMPz,PCTEMPp,CRFNO1,CRFAO1,CRFSO1,CRFNOa,CRFAOa,CRFSOa,CRFCWO1,CRFCWO1d,CRFCWOa,CRFCWOad,LSASS1,LSASS1d,LSASSp,LSASSpd,LSAPP1,LSAPP1d,LSAGN,LSAGNd,LDTTRc,LDTTRa,LDMTLD,LDVOCD,CNCAll,CNCCaus,CNCLogic,CNCADC,CNCTemp,CNCTempx,CNCAdd,CNCPos,CNCNeg,SMCAUSv,SMCAUSvp,SMINTEp,SMCAUSr,SMINTEr,SMCAUSlsa,SMCAUSwn,SMTEMP,SYNLE,SYNNP,SYNMEDpos,SYNMEDwrd,SYNMEDlem,SYNSTRUTa,SYNSTRUTt,DRNP,DRVP,DRAP,DRPP,DRPVAL,DRNEG,DRGERUND,DRINF,WRDNOUN,WRDVERB,WRDADJ,WRDADV,WRDPRO,WRDPRP1s,WRDPRP1p,WRDPRP2,WRDPRP3s,WRDPRP3p,WRDFRQc,WRDFRQa,WRDFRQmc,WRDAOAc,WRDFAMc,WRDCNCc,WRDIMGc,WRDMEAc,WRDPOLc,WRDHYPn,WRDHYPv,WRDHYPnv,RDFRE,RDFKGL,RDL2,modified_problem,no_of_equations,no_of_variables,has_exponential_or_mod,has_logarithm,has_fraction,has_equality_or_inequality
"A  33 -gon  P_1  is drawn in the Cartesian plane.  The sum of the  x -coordinates of the  33  vertices equals  99 .  The midpoints of the sides of  P_1  form a second  33 -gon,  P_2 .  Finally, the midpoints of the sides of  P_2  form a third  33 -gon,  P_3 .  Find the sum of the  x -coordinates of the vertices of  P_3 .",Level 5,1,5,67,5,0,13.4,2.074,1.239,0.605,3.328,2.631,-1.065,14.46,0.018,50.4,0.333,62.93,3.43,99.97,-2.239,1.29,1.268,89.62,0.993,83.89,1.675,95.25,0.5,0.5,0.5,0.7,0.7,0.7,0.25,0.363,0.303,0.285,0,0,0.579,0.264,0.555,0.188,0,0,0.429,0.403,22.333,0,14.925,0,14.925,0,14.925,0,14.925,0,0,74.627,74.627,0,0,0,0.067,0.733,1,6.4,1.381,0.363,0.605,0.589,0.445,0.299,492.537,89.552,14.925,149.254,14.925,0,0,0,343.283,44.775,29.851,14.925,0,0,0,0,0,0,2.048,3.457,0,313.833,561.909,409.4,423.545,407.2,2.76,5.447,1.363,1.779,88.415,4.256,40.771,"A  33 -gon  P_1  is drawn in the Cartesian plane.  The sum of the  x -coordinates of the  33  vertices equals  99 .  The midpoints of the sides of  P_1  form a second  33 -gon,  P_2 .  Finally, the midpoints of the sides of  P_2  form a third  33 -gon,  P_3 .  Find the sum of the  x -coordinates of the vertices of  P_3 .",0,0,FALSE,FALSE,FALSE,FALSE
"The function    lfloor x  rfloor  is defined as the largest integer less than or equal to  x . For example,    lfloor 5.67  rfloor = 5 ,    lfloor -  tfrac 14  rfloor = -1 , and    lfloor 8  rfloor = 8 .

What is the range of the function   f(x) =   lfloor x  rfloor - x~?  Express your answer in interval notation.",Level 5,2,4,56,2,0,13.25,5.188,1.268,0.587,3.875,2.39,-0.633,26.43,-1.075,14.23,-0.008,50,0.922,82.12,-0.956,17.11,1.482,93.06,-2.284,1.13,1.599,94.41,0.667,0.667,0.667,0.5,0.5,0.5,0.335,0.292,0.239,0.264,0,0,0.149,0.026,0.137,0.018,0.598,0,0.2,0.642,31.399,0,71.429,17.857,35.714,17.857,17.857,17.857,53.571,0,0,17.857,17.857,17.857,0,0.5,0.058,1,1,2.25,0.706,0.628,0.944,0.944,0.025,0.039,375,125,0,107.143,17.857,0,0,0,250,53.571,125,17.857,17.857,0,0,17.857,0,0,2.148,2.869,0,443.8,556.8,357.857,374.556,445.667,2.2,3.39,1.771,0.839,85.352,4.832,21.701,"The function    lfloor x  rfloor  is defined as the largest integer less than or equal to  x . For example,    lfloor 5.67  rfloor = 5 ,    lfloor -  tfrac 14  rfloor = -1 , and    lfloor 8  rfloor = 8 .

What is the range of the function   f(x) =   lfloor x  rfloor - x~?  Express your answer in interval notation.",0,0,FALSE,FALSE,FALSE,FALSE
"If  f(x)=  sqrt{x-3} , what is the smallest real number  x  in the domain of  f(f(x)) ?",Level 5,1,1,20,1,0,20,0,1.15,0.366,2.8,2.016,-2.354,0.94,-1.79,3.67,2.887,99.8,0.481,68.44,-2.714,0.34,4.316,100,2.068,98.03,-27.938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,20,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,7,1.5,0,0,0,0,0,300,100,0,100,0,0,0,0,200,50,150,0,0,0,0,0,0,0,2.399,2.771,0,239,606,326.75,380.75,456.25,3.182,7.138,0.423,1.336,89.245,5.78,8.228,"If  f(x)=  sqrt{x-3} , what is the smallest real number  x  in the domain of  f(f(x)) ?",0,0,FALSE,FALSE,FALSE,FALSE
"Let   [f(x) =
  begin{cases}
3x^2 + 2&  text{if } x  le 3,     
ax - 1 &  text{if } x>3.
  end{cases}
  ]Find  a  if the graph of  y=f(x)  is continuous (which means the graph can be drawn without lifting your pencil from the paper).",Level 5,6,6,47,1,0,7.667,8.824,1.191,0.449,3.128,2.039,-1.133,12.92,0.738,76.73,2.233,98.71,2.064,98.03,-0.007,50,1.477,92.92,0.803,78.81,1.68,95.25,0.2,0.2,0.2,0.133,0.133,0.133,0.1,0.224,0.067,0.176,0,0,0.174,0.229,0,0,0.174,0.229,0.258,0.717,39.466,0,63.83,0,63.83,0,0,0,0,0,0,42.553,42.553,0,0,0,0.012,0.143,1,0,0.8,0,0,0,0.107,0.082,382.979,170.213,21.277,106.383,21.277,0,21.277,0,319.149,148.937,21.277,0,21.277,0,0,21.277,0,0,2.104,2.724,2.225,326.889,552.733,476.6,480.933,425.417,4.627,5.956,1.671,2.272,98.126,1.519,13.47,"Let   [f(x) =
  begin{cases}
3x^2 + 2&  text{if } x  le 3,     
ax - 1 &  text{if } x>3.
  end{cases}
  ]Find  a  if the graph of  y=f(x)  is continuous (which means the graph can be drawn without lifting your pencil from the paper).",0,0,FALSE,FALSE,FALSE,FALSE
"Laura is training for a triathlon, but she doesn't feel like swimming. She bikes  20  miles at  2x+1  miles per hour, spends five minutes parking her bike, changing to her running shoes, and catching a drink of water, and then runs  5  miles at  x  miles per hour. Her total workout lasts  110  minutes. How fast did Laura run, to the nearest hundredth of a mile per hour?  (You may use a calculator on this problem.)",Level 5,1,5,77,5,0,15.8,12.377,1.299,0.54,4.13,2.111,0.486,68.44,0.335,62.93,2.467,99.31,-0.439,33,-0.394,34.83,-0.832,20.33,-1.888,3.01,-1.159,12.51,0.25,0.5,0.25,0.3,0.4,0.3,0.061,0.084,0.049,0.069,0.25,0.1,0.144,0.153,0.155,0.189,0,0,0.194,0.759,91.973,0,64.935,12.987,38.961,12.987,12.987,51.948,38.961,0,0,38.961,38.961,38.961,0,0.25,0.032,0.495,0.75,1.6,0.72,0.705,0.955,0.955,0.034,0.072,415.584,207.792,12.987,155.844,0,12.987,51.948,0,311.688,129.87,38.961,38.961,77.922,0,0,12.987,64.935,0,2.055,2.868,0.845,277.091,589.435,429.957,476.783,462,4.091,6.627,1.556,2.055,81.309,5.744,5.87,"Laura is training for a triathlon, but she doesn't feel like swimming. She bikes  20  miles at  2x+1  miles per hour, spends five minutes parking her bike, changing to her running shoes, and catching a drink of water, and then runs  5  miles at  x  miles per hour. Her total workout lasts  110  minutes. How fast did Laura run, to the nearest hundredth of a mile per hour?  (You may use a calculator on this problem.)",0,0,FALSE,FALSE,FALSE,FALSE
"Krzysztof solved the quadratic equation  11x^2-44x-99=0  by completing the square. In the process, he came up with the equivalent equation   (x+r)^2 = s,  where  r  and  s  are constants.

What is  r+s ?",Level 5,2,3,34,1.5,0.707,12.667,8.083,1.412,0.821,4.441,3.017,0.124,54.78,-1.118,13.35,-1.152,12.51,-0.111,45.62,-1.795,3.67,-1.295,9.85,0.369,64.06,1.596,94.41,0.5,0.5,0.5,0.333,0.333,0.333,0.063,0.088,0.042,0.072,0.5,0.333,0.292,0.402,0.576,0,-0.002,0,0.161,0.763,44.924,0,58.824,29.412,0,0,0,0,29.412,0,0,0,0,29.412,0,0.5,0,0.083,1,5,0.615,0.677,0.871,0.871,0.068,0.056,441.176,176.471,0,88.235,0,0,29.412,0,323.529,117.648,58.824,0,29.412,0,0,0,29.412,0,2.162,2.979,0,250,591,330.25,351.833,394.25,3.026,4.419,1.472,1.435,75.877,5.491,10.424,"Krzysztof solved the quadratic equation  11x^2-44x-99=0  by completing the square. In the process, he came up with the equivalent equation   (x+r)^2 = s,  where  r  and  s  are constants.

What is  r+s ?",0,0,FALSE,FALSE,FALSE,FALSE
Let  x^2+bx+c = 0  be a quadratic whose roots are each two more than the roots of  3x^2-5x-7 . What is  c ?,Level 5,1,2,23,2,0,13,14.142,1.087,0.417,3.348,2.036,-0.653,25.78,-0.942,17.36,-1.926,2.74,-2.146,1.62,-3.596,0,6.164,100,1.035,84.85,1.863,96.86,0,0,0,0,0,0,0,0,0,0,0,0,0.148,0,0.148,0,0,0,0.07,0.885,63.093,0,0,0,0,0,0,0,0,0,0,43.478,43.478,43.478,0,0,0.471,1,1,0.5,0.8,0.913,1,0.913,0.02,0.02,391.304,130.435,0,86.957,0,0,0,0,173.913,43.478,86.956,0,0,0,0,0,0,0,3.1,3.235,0,0,583.6,361.6,402,383.2,3.24,5,1.051,0.968,100,1.722,25.03,Let  x^2+bx+c = 0  be a quadratic whose roots are each two more than the roots of  3x^2-5x-7 . What is  c ?,0,0,FALSE,FALSE,FALSE,FALSE
What is the area of the region enclosed by the graph of the equation  x^2-14x+3y+70=21+11y-y^2  that lies below the line  y=x-3 ?,Level 5,1,1,23,1,0,31,0,1.348,0.647,4.435,3.871,-2.262,1.19,-1.895,2.94,3.427,99.97,0.695,75.49,-2.722,0.33,4.433,100,2.471,99.32,-27.357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.742,19.433,0,43.478,43.478,0,0,0,0,0,0,0,0,0,0,0,1,0.012,0.333,-2,1,1.4,0,0,0,0,0,347.826,130.435,0,173.913,0,0,0,0,217.391,130.435,43.478,0,0,0,0,0,0,0,2.088,3.169,0,305.667,557.833,406.167,423,414.5,3.5,6.211,1.389,1.468,69.449,9.286,1.321,What is the area of the region enclosed by the graph of the equation  x^2-14x+3y+70=21+11y-y^2  that lies below the line  y=x-3 ?,0,0,FALSE,FALSE,FALSE,FALSE
How many integers are solutions to the equation   (x-2)^{(25-x^2)}=1?  ,Level 5,1,1,12,1,0,14,0,1.583,0.9,4.167,2.657,-3.123,0.09,-1.854,3.22,-0.617,27.09,-0.077,47.21,-5.185,0,4.434,100,3.183,99.93,-27.614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.857,27.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,3,0.5,0,0,0,0,0,333.333,83.333,0,83.333,0,0,0,0,250,0,250,0,0,0,0,0,0,0,2.463,3.108,0,506,552.5,296.333,352.667,392,2.385,6.689,0.846,1.609,60.733,7.769,9.666,How many integers are solutions to the equation   (x-2)^{(25-x^2)}=1?  ,0,0,FALSE,FALSE,FALSE,FALSE
"Find all  c  which satisfy     frac{c}{3}   le 2+c < -2(1+c).  Express your answer in interval notation, simplifying any fractions which occur in your answer.",Level 5,1,2,26,2,0,14,0,1.577,0.857,4.462,2.657,-1.082,14.01,0.663,74.54,-0.395,34.83,-2.216,1.36,-2.832,0.23,-1.21,11.31,1.823,96.56,1.363,91.31,0,0,0,0,0,0,0,0,0,0,0,0,0.075,0,0.075,0,0,0,0.04,0.714,15.861,0,0,0,0,0,0,0,0,0,0,76.923,76.923,38.462,0,0,-0.026,0.1,1,0,1.667,0.692,0.923,0.923,0.12,0.12,307.692,192.308,0,38.462,0,0,38.462,0,269.231,153.847,115.385,0,76.923,0,0,76.923,0,0,1.852,2.578,0,331.75,580,386.75,390.5,438.667,2.966,5.873,1.712,2.109,60.226,8.089,3.444,"Find all  c  which satisfy     frac{c}{3}   le 2+c < -2(1+c).  Express your answer in interval notation, simplifying any fractions which occur in your answer.",0,0,FALSE,FALSE,FALSE,FALSE
"If  f(x)=  sqrt{x-3} , what is the smallest real number  x  in the domain of  f(f(x)) ?",Level 5,1,1,20,1,0,20,0,1.15,0.366,2.8,2.016,-2.354,0.94,-1.79,3.67,2.887,99.8,0.481,68.44,-2.714,0.34,4.316,100,2.068,98.03,-27.938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,20,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,7,1.5,0,0,0,0,0,300,100,0,100,0,0,0,0,200,50,150,0,0,0,0,0,0,0,2.399,2.771,0,239,606,326.75,380.75,456.25,3.182,7.138,0.423,1.336,89.245,5.78,8.228,"If  f(x)=  sqrt{x-3} , what is the smallest real number  x  in the domain of  f(f(x)) ?",0,0,FALSE,FALSE,FALSE,FALSE
"Let   [f(x) =
  begin{cases}
3x^2 + 2&  text{if } x  le 3,     
ax - 1 &  text{if } x>3.
  end{cases}
  ]Find  a  if the graph of  y=f(x)  is continuous (which means the graph can be drawn without lifting your pencil from the paper).",Level 5,6,6,47,1,0,7.667,8.824,1.191,0.449,3.128,2.039,-1.133,12.92,0.738,76.73,2.233,98.71,2.064,98.03,-0.007,50,1.477,92.92,0.803,78.81,1.68,95.25,0.2,0.2,0.2,0.133,0.133,0.133,0.1,0.224,0.067,0.176,0,0,0.174,0.229,0,0,0.174,0.229,0.258,0.717,39.466,0,63.83,0,63.83,0,0,0,0,0,0,42.553,42.553,0,0,0,0.012,0.143,1,0,0.8,0,0,0,0.107,0.082,382.979,170.213,21.277,106.383,21.277,0,21.277,0,319.149,148.937,21.277,0,21.277,0,0,21.277,0,0,2.104,2.724,2.225,326.889,552.733,476.6,480.933,425.417,4.627,5.956,1.671,2.272,98.126,1.519,13.47,"Let   [f(x) =
  begin{cases}
3x^2 + 2&  text{if } x  le 3,     
ax - 1 &  text{if } x>3.
  end{cases}
  ]Find  a  if the graph of  y=f(x)  is continuous (which means the graph can be drawn without lifting your pencil from the paper).",0,0,FALSE,FALSE,FALSE,FALSE
The value of the expression    [(2^{1004}+5^{1005})^2-(2^{1004}-5^{1005})^2  ]is  k  cdot10^{1004}  for some positive integer  k . What is  k ?,Level 5,1,2,27,2,0,13.5,14.849,1.259,0.656,3.37,2.29,-2.286,1.13,-2.038,2.12,-6.152,0,1.848,96.71,-1.676,4.75,6.106,100,1.897,97.06,1.958,97.44,1,1,1,1,1,1,0.231,0,0.231,0,0,0,0.58,0,0.58,0,0,0,0.209,0.593,15.75,0,37.037,37.037,37.037,0,0,37.037,0,0,0,0,0,0,0,1,1,1,1,8,1.5,0.926,0.852,0.852,0.02,0.02,407.407,37.037,0,74.074,0,0,0,0,333.333,37.037,74.074,0,0,0,0,0,0,0,2.031,3.1,1.27,433,535.5,260.667,316.333,325,3.138,4.704,0.846,1.518,86.621,4.531,13.367,The value of the expression    [(2^{1004}+5^{1005})^2-(2^{1004}-5^{1005})^2  ]is  k  cdot10^{1004}  for some positive integer  k . What is  k ?,0,0,FALSE,FALSE,FALSE,FALSE
